ID1,HHID,HV000,HV001,HV002,HV002A,HV003,HV004,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV017,HV020,HV021,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,UBIGEO,HV022,HV005,CODCCPP,NOMCCPP,LATITUDY,LONGITUDX,NCONGLOME
2023,      002302201,PE6,23,22,1,2,23,2023,1478,4,1,0,4,4,1,1,1,0,23,1,1,1,2,0, ,0, ,0, ,1,981,1,1,0,1,010702,8,128406,0057,JOSE OLAYA,-5.727357746,-78.303225146,06763
2023,      002302801,PE6,23,28,1,1,23,2023,1478,1,0,0,1,1,0,1,1,0,23,1,1,1,2,0, ,0, ,0, ,0,981,0,1,0,1,010702,8,923485,0057,JOSE OLAYA,-5.727357746,-78.303225146,06763
2023,      002302901,PE6,23,29,1,2,23,2023,1478,6,1,0,5,6,2,1,1,0,23,1,1,1,2,0, ,0, ,0, ,2,981,2,1,0,1,010702,8,128406,0057,JOSE OLAYA,-5.727357746,-78.303225146,06763
2023,      002304701,PE6,23,47,1,2,23,2023,1478,2,0,0,2,2,0,1,1,0,23,1,1,1,2,0, ,0, ,0, ,0,981,0,1,0,1,010702,8,923485,0057,JOSE OLAYA,-5.727357746,-78.303225146,06763
2023,      002305901,PE6,23,59,1,2,23,2023,1478,6,2,0,3,6,1,1,1,0,23,1,1,1,2,0, ,0, ,0, ,1,981,3,1,0,1,010702,8,128406,0057,JOSE OLAYA,-5.727357746,-78.303225146,06763
2023,      002307201,PE6,23,72,1,3,23,2023,1478,5,1,0,5,5,1,1,1,0,23,1,1,1,2,0, ,0, ,0, ,1,981,1,1,0,1,010702,8,128406,0057,JOSE OLAYA,-5.727357746,-78.303225146,06763
2023,      002307401,PE6,23,74,1,0,23,2023,1478,0,0,0,0,0,0,3,5,0,23,1,1,1,2,0, ,0, ,0, ,0,981,0,1,0,1,010702,8,0,0057,JOSE OLAYA,-5.727357746,-78.303225146,06763
2023,      002309001,PE6,23,90,1,1,23,2023,1478,3,1,0,3,2,1,1,1,0,23,1,1,1,2,0, ,0, ,0, ,1,981,1,1,0,1,010702,8,128406,0057,JOSE OLAYA,-5.727357746,-78.303225146,06763
2023,      002309701,PE6,23,97,1,1,23,2023,1478,5,1,0,5,5,2,1,1,0,23,1,1,1,2,0, ,0, ,0, ,2,981,1,1,0,1,010702,8,128406,0057,JOSE OLAYA,-5.727357746,-78.303225146,06763
2023,      002311501,PE6,23,115,1,1,23,2023,1478,4,1,0,4,4,1,1,1,0,23,1,1,1,2,0, ,0, ,0, ,1,981,1,1,0,1,010702,8,128406,0057,JOSE OLAYA,-5.727357746,-78.303225146,06763
2023,      003100101,PE6,31,1,1,0,31,2023,1482,0,0,0,0,0,0,3,2,0,31,1,1,2,3,0, ,0, ,0, ,0,293,0,1,0,1,010401,10,0,0079,PAANTAN,-4.935726666,-78.098228333,06519
2023,      003100201,PE6,31,2,1,1,31,2023,1482,4,1,0,4,4,1,1,1,0,31,1,1,2,3,0, ,0, ,0, ,1,293,1,1,0,1,010401,10,223936,0079,PAANTAN,-4.935726666,-78.098228333,06519
2023,      003100301,PE6,31,3,1,1,31,2023,1482,4,1,0,4,4,2,1,1,0,31,1,1,2,3,0, ,0, ,0, ,1,293,1,1,0,1,010401,10,223936,0079,PAANTAN,-4.935726666,-78.098228333,06519
2023,      003100401,PE6,31,4,1,1,31,2023,1482,3,1,0,2,3,1,1,1,0,31,1,1,2,3,0, ,0, ,0, ,1,293,1,1,0,1,010401,10,223936,0079,PAANTAN,-4.935726666,-78.098228333,06519
2023,      003100501,PE6,31,5,1,1,31,2023,1482,1,0,0,1,1,0,1,1,0,31,1,1,2,3,0, ,0, ,0, ,0,293,0,1,0,1,010401,10,508554,0079,PAANTAN,-4.935726666,-78.098228333,06519
2023,      003115001,PE6,31,150,1,1,31,2023,1482,9,1,0,9,9,3,1,1,0,31,1,1,2,3,0, ,0, ,0, ,3,293,1,1,0,1,010401,10,223936,0079,PAANTAN,-4.935726666,-78.098228333,06519
2023,      003115101,PE6,31,151,1,2,31,2023,1482,4,1,0,4,3,2,1,1,0,31,1,1,2,3,0, ,0, ,0, ,2,293,1,1,0,1,010401,10,223936,0079,PAANTAN,-4.935726666,-78.098228333,06519
2023,      003115301,PE6,31,153,1,2,31,2023,1482,8,1,0,8,8,3,1,1,0,31,1,1,2,3,0, ,0, ,0, ,3,293,1,1,0,1,010401,10,223936,0079,PAANTAN,-4.935726666,-78.098228333,06519
2023,      003115401,PE6,31,154,1,1,31,2023,1482,7,1,0,7,7,1,1,1,0,31,1,1,2,3,0, ,0, ,0, ,1,293,1,1,0,1,010401,10,223936,0079,PAANTAN,-4.935726666,-78.098228333,06519
2023,      003115501,PE6,31,155,1,1,31,2023,1482,6,1,0,6,6,2,1,1,0,31,1,1,2,3,0, ,0, ,0, ,2,293,1,1,0,1,010401,10,223936,0079,PAANTAN,-4.935726666,-78.098228333,06519
2023,      003122401,PE6,31,224,1,2,31,2023,1482,4,1,0,4,3,1,1,1,0,31,1,1,2,3,0, ,0, ,0, ,1,293,1,1,0,1,010401,10,223936,0108,CUZUMATAC,-4.916448333,-78.107005,06519
2023,      003122501,PE6,31,225,1,1,31,2023,1482,8,1,0,8,8,2,1,1,0,31,1,1,2,3,0, ,0, ,0, ,2,293,1,1,0,1,010401,10,223936,0108,CUZUMATAC,-4.916448333,-78.107005,06519
2023,      003122601,PE6,31,226,1,1,31,2023,1482,4,1,0,4,4,1,1,1,0,31,1,1,2,3,0, ,0, ,0, ,1,293,1,1,0,1,010401,10,223936,0108,CUZUMATAC,-4.916448333,-78.107005,06519
2023,      003122701,PE6,31,227,1,1,31,2023,1482,3,1,0,3,3,1,1,1,0,31,1,1,2,3,0, ,0, ,0, ,1,293,1,1,0,1,010401,10,223936,0108,CUZUMATAC,-4.916448333,-78.107005,06519
2023,      003122801,PE6,31,228,1,2,31,2023,1482,2,0,0,2,2,0,1,1,0,31,1,1,2,3,0, ,0, ,0, ,0,293,0,1,0,1,010401,10,508554,0108,CUZUMATAC,-4.916448333,-78.107005,06519
2023,      003304901,PE6,33,49,1,2,33,2023,1480,6,2,0,6,6,0,1,1,0,33,1,1,2,3,0, ,0, ,0, ,0,258,2,1,0,1,010205,10,578063,0183,MONTE DE LOS OLIVOS,-4.876643333,-78.202813333,06531
2023,      003305001,PE6,33,50,1,2,33,2023,1480,6,1,0,6,5,0,1,1,0,33,1,1,2,3,0, ,0, ,0, ,0,258,1,1,0,1,010205,10,578063,0183,MONTE DE LOS OLIVOS,-4.876643333,-78.202813333,06531
2023,      003305101,PE6,33,51,1,1,33,2023,1480,10,3,0,10,9,1,1,1,0,33,1,1,2,3,0, ,0, ,0, ,1,258,3,1,0,1,010205,10,254544,0183,MONTE DE LOS OLIVOS,-4.876643333,-78.202813333,06531
2023,      003305201,PE6,33,52,1,0,33,2023,1480,0,0,0,0,0,0,3,2,0,33,1,1,2,3,0, ,0, ,0, ,0,258,0,1,0,1,010205,10,0,0183,MONTE DE LOS OLIVOS,-4.876643333,-78.202813333,06531
