ID1,HHID,HV000,HV001,HV002,HV002A,HV003,HV004,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV017,HV020,HV021,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,UBIGEO,HV022,CODCCPP,NOMCCPP,NCONGLOME,HV005,longitudx,latitudy
2021,      000804901,PE6,8,49,1,2,8,2021,1458,6,1,0,6,6,1,1,1,0,8,1,1,1,2,0, ,0, ,0, ,1,189,2,1,0,1,010401,9,0001,SANTA MARIA DE NIEVA,06488,134039,-77.873295359,-4.592609503
2021,      000805701,PE6,8,57,1,1,8,2021,1458,2,0,0,1,2,0,1,1,0,8,1,1,1,2,0, ,0, ,0, ,0,189,0,1,0,1,010401,9,0001,SANTA MARIA DE NIEVA,06488,816591,-77.873295359,-4.592609503
2021,      000805801,PE6,8,58,1,2,8,2021,1458,3,1,0,3,3,1,1,1,0,8,1,1,1,2,0, ,0, ,0, ,1,189,1,1,0,1,010401,9,0001,SANTA MARIA DE NIEVA,06488,134039,-77.873295359,-4.592609503
2021,      000807101,PE6,8,71,1,1,8,2021,1458,1,0,0,1,1,0,1,1,0,8,1,1,1,2,0, ,0, ,0, ,0,189,0,1,0,1,010401,9,0001,SANTA MARIA DE NIEVA,06488,816591,-77.873295359,-4.592609503
2021,      000812301,PE6,8,123,1,1,8,2021,1458,6,1,0,6,6,2,1,1,0,8,1,1,1,2,0, ,0, ,0, ,2,189,2,1,0,1,010401,9,0001,SANTA MARIA DE NIEVA,06488,134039,-77.873295359,-4.592609503
2021,      000814401,PE6,8,144,1,3,8,2021,1458,6,2,0,6,6,0,1,1,0,8,1,1,1,2,0, ,0, ,0, ,0,189,3,1,0,1,010401,9,0001,SANTA MARIA DE NIEVA,06488,816591,-77.873295359,-4.592609503
2021,      000816201,PE6,8,162,1,2,8,2021,1458,6,1,0,6,5,2,1,1,0,8,1,1,1,2,0, ,0, ,0, ,2,189,1,1,0,1,010401,9,0001,SANTA MARIA DE NIEVA,06488,134039,-77.873295359,-4.592609503
2021,      000817801,PE6,8,178,1,1,8,2021,1458,2,1,0,2,2,0,1,1,0,8,1,1,1,2,0, ,0, ,0, ,0,189,1,1,0,1,010401,9,0001,SANTA MARIA DE NIEVA,06488,816591,-77.873295359,-4.592609503
2021,      000900201,PE6,9,2,1,3,9,2021,1454,7,1,0,7,7,1,1,2,0,9,1,1,1,2,0, ,0, ,0, ,1,360,1,1,0,1,010202,9,0033,EL MUYO (C.P.L.),06556,119048,-78.452030898,-5.421676005
2021,      000901101,PE6,9,11,1,1,9,2021,1454,4,1,0,4,4,2,1,1,0,9,1,1,1,2,0, ,0, ,0, ,2,360,1,1,0,1,010202,9,0033,EL MUYO (C.P.L.),06556,119048,-78.452030898,-5.421676005
2021,      000902701,PE6,9,27,1,2,9,2021,1454,3,0,0,3,3,0,1,1,0,9,1,1,1,2,0, ,0, ,0, ,0,360,0,1,0,1,010202,9,0033,EL MUYO (C.P.L.),06556,725264,-78.452030898,-5.421676005
2021,      000903001,PE6,9,30,1,1,9,2021,1454,4,1,0,4,4,1,1,1,0,9,1,1,1,2,0, ,0, ,0, ,1,360,1,1,0,1,010202,9,0033,EL MUYO (C.P.L.),06556,119048,-78.452030898,-5.421676005
2021,      000903301,PE6,9,33,1,1,9,2021,1454,3,1,0,3,2,0,1,1,0,9,1,1,1,2,0, ,0, ,0, ,0,360,2,1,0,1,010202,9,0033,EL MUYO (C.P.L.),06556,725264,-78.452030898,-5.421676005
2021,      000907701,PE6,9,77,1,1,9,2021,1454,5,2,0,5,5,2,1,1,0,9,1,1,1,2,0, ,0, ,0, ,2,360,2,1,0,1,010202,9,0033,EL MUYO (C.P.L.),06556,119048,-78.452030898,-5.421676005
2021,      000908601,PE6,9,86,1,1,9,2021,1454,4,1,0,4,4,1,1,1,0,9,1,1,1,2,0, ,0, ,0, ,1,360,1,1,0,1,010202,9,0033,EL MUYO (C.P.L.),06556,119048,-78.452030898,-5.421676005
2021,      000908701,PE6,9,87,1,2,9,2021,1454,3,1,0,3,3,1,1,1,0,9,1,1,1,2,0, ,0, ,0, ,1,360,1,1,0,1,010202,9,0033,EL MUYO (C.P.L.),06556,119048,-78.452030898,-5.421676005
2021,      000908801,PE6,9,88,1,1,9,2021,1454,2,1,0,2,2,0,1,1,0,9,1,1,1,2,0, ,0, ,0, ,0,360,1,1,0,1,010202,9,0033,EL MUYO (C.P.L.),06556,725264,-78.452030898,-5.421676005
